	Holder	Shares	Date Reported	% Out	Value
0	Fisher Asset Management, LLC	7540512	2020-06-29	0.0051	374989661
1	UBS Group AG	5926845	2020-06-29	0.004	294742001
2	FMR, LLC	5196152	2020-06-29	0.0034999999999999996	258404638
3	Arrowstreet Capital, Limited Partnership	4591001	2020-06-29	0.0031	228310479
4	Bank of America Corporation	4271144	2020-06-29	0.0029	212403991
5	Goldman Sachs Group, Inc.	3667125	2020-06-29	0.0025	182366126
6	Citigroup Inc.	3196819	2020-06-29	0.0022	158977808
7	Morgan Stanley	1895425	2020-06-29	0.0013	94259485
8	Parametric Portfolio Associates	1798280	2020-06-29	0.0012	89428464
9	Segantii Capital Management Ltd	1699294	2020-06-29	0.0012	84505890
