	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	56368296	2020-09-29	0.12689999999999999	13625908192
1	Blackrock Inc.	33571973	2020-09-29	0.0756	8115353033
2	State Street Corporation	17646573	2020-09-29	0.0397	4265706091
3	Wellington Management Company, LLP	15888001	2020-09-29	0.0358	3840606481
4	FMR, LLC	13983083	2020-09-29	0.0315	3380130653
5	Edgewood Management Company	9839228	2020-09-29	0.022099999999999998	2378436584
6	Capital World Investors	9258705	2020-09-29	0.0208	2238106759
7	Bank of America Corporation	7300134	2020-09-29	0.016399999999999998	1764661391
8	Cohen & Steers Inc.	7250431	2020-09-29	0.0163	1752646685
9	Akre Capital Management, LLC	7033369	2020-09-29	0.0158	1700176288
