Date	Open	High	Low	Close	Adj Close	Volume
2018-12-31	166.9	167.02	166.9	167.0	167.0	0
2019-01-02	164.7	164.7	162.6	163.31	163.31	0
2019-01-02	164.5	164.5	164.5	164.5	164.5	0
2019-01-02	164.6	165.0	164.5	165.0	165.0	0
2019-01-02	165.0	165.05	164.65	165.0	165.0	0
2019-01-02	164.5	164.75	163.99	164.75	164.75	0
2019-01-02	164.14999389648438	169.47999572753906	163.60000610351562	169.27000427246094	169.27000427246094	832162
2019-01-02	169.1699981689453	171.75999450683594	168.94000244140625	171.07000732421875	171.07000732421875	603147
2019-01-02	171.0	171.69000244140625	170.1199951171875	170.39999389648438	170.39999389648438	573746
2019-01-02	170.30999755859375	172.2100067138672	170.2449951171875	171.72000122070312	171.72000122070312	370992
2019-01-02	171.69529724121094	172.1300048828125	170.6999969482422	171.25	171.25	247536
2019-01-02	171.1717071533203	171.9199981689453	170.55999755859375	170.96499633789062	170.96499633789062	545173
2019-01-02	170.88999938964844	172.05999755859375	170.72000122070312	171.99000549316406	171.99000549316406	516626
2019-01-02	172.03	172.19	170.3313	171.7699	171.7699	0
2019-01-02	168.75	172.03	168.75	169.94	169.94	0
2019-01-02	169.49	169.49	168.61	168.61	168.61	0
2019-01-03	169.79	169.79	169.79	169.79	169.79	0
2019-01-03	168.73	170.5	168.73	170.5	170.5	0
2019-01-03	170.0	170.4	170.0	170.06	170.06	0
2019-01-03	170.5	170.8	170.12	170.303	170.303	0
2019-01-03	170.9600067138672	171.72999572753906	168.61000061035156	169.6999969482422	169.6999969482422	785268
2019-01-03	169.19000244140625	169.82000732421875	168.3800048828125	169.13999938964844	169.13999938964844	623317
2019-01-03	169.02000427246094	170.57000732421875	169.02000427246094	170.3699951171875	170.3699951171875	514639
2019-01-03	170.3699951171875	171.14999389648438	169.61000061035156	169.8209991455078	169.8209991455078	392812
2019-01-03	169.7100067138672	170.69000244140625	169.5	170.44000244140625	170.44000244140625	294368
2019-01-03	170.53489685058594	170.7899932861328	169.16000366210938	169.4600067138672	169.4600067138672	419074
2019-01-03	169.3000030517578	169.94500732421875	169.0500030517578	169.5500030517578	169.5500030517578	609614
2019-01-03	169.51	169.51	169.01	169.01	169.01	0
2019-01-03	169.51	169.8	169.51	169.51	169.51	0
2019-01-04	172.5	172.5	172.5	172.5	172.5	0
2019-01-04	172.0	172.5	172.0	172.5	172.5	0
2019-01-04	173.63999938964844	174.39999389648438	171.1699981689453	174.22999572753906	174.22999572753906	684168
2019-01-04	174.35000610351562	175.4199981689453	173.1363067626953	174.52999877929688	174.52999877929688	512656
2019-01-04	174.3000030517578	175.74000549316406	174.27999877929688	175.57000732421875	175.57000732421875	326257
2019-01-04	175.6999969482422	176.0	175.02999877929688	175.17999267578125	175.17999267578125	275436
2019-01-04	175.35000610351562	175.59500122070312	174.7100067138672	175.52999877929688	175.52999877929688	289235
