	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	14071575	2020-06-29	0.10369999999999999	3298658611
1	Vanguard Group, Inc. (The)	12890591	2020-06-29	0.095	3021812342
2	Price (T.Rowe) Associates Inc	9712020	2020-06-29	0.0716	2276691728
3	Blackrock Inc.	8108359	2020-06-29	0.059699999999999996	1900761516
4	Artisan Partners Limited Partnership	6260687	2020-06-29	0.0461	1467630246
5	FMR, LLC	4916977	2020-06-29	0.0362	1152637748
6	State Street Corporation	2837378	2020-06-29	0.0209	665138150
7	Brown Capital Management, Inc.	2687603	2020-06-29	0.019799999999999998	630027895
8	Franklin Resources, Inc.	2622386	2020-06-29	0.019299999999999998	614739726
9	Blair (William) & Company, L.L.C.	1976198	2020-06-29	0.0146	463260335
