Date	Firm	To Grade	From Grade	Action
2020-02-13 16:02:42	CFRA	Strong Buy		main
2020-02-14 12:15:29	Citigroup	Buy		main
2020-02-18 14:52:56	Deutsche Bank	Buy		main
2020-03-27 13:33:39	Baird	Neutral		main
2020-03-27 19:06:20	Morgan Stanley	Overweight		main
2020-04-13 12:58:41	SunTrust Robinson Humphrey	Buy		main
2020-04-13 13:35:09	Morgan Stanley	Overweight		main
2020-05-04 13:38:16	JP Morgan	Overweight		main
2020-05-07 11:47:29	Morgan Stanley	Overweight		main
2020-05-07 15:53:06	Baird	Neutral		main
2020-05-07 16:24:00	UBS	Buy		main
2020-05-07 16:40:35	Citigroup	Buy		main
2020-05-14 09:36:47	Credit Suisse	Outperform	Neutral	up
2020-08-06 10:47:25	SVB Leerink	Market Perform		main
2020-08-07 13:39:26	Credit Suisse	Outperform		main
