	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	22636989	2020-06-29	0.0679	31999874020
1	Blackrock Inc.	20335553	2020-06-29	0.061	28746541076
2	Price (T.Rowe) Associates Inc	12358311	2020-06-29	0.037000000000000005	17469832012
3	State Street Corporation	11737607	2020-06-29	0.0352	16592398631
4	FMR, LLC	8036248	2020-06-29	0.0241	11360120535
5	Geode Capital Management, LLC	4402730	2020-06-29	0.0132	6223743155
6	Capital International Investors	4363371	2020-06-29	0.0131	6168104879
7	Northern Trust Corporation	4002963	2020-06-29	0.012	5658628526
8	Bank Of New York Mellon Corporation	3723037	2020-06-29	0.011200000000000002	5262922333
9	AllianceBernstein, L.P.	3604744	2020-06-29	0.0108	5095702165
