	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	71089568	2020-06-29	0.08460000000000001	5771051130
1	Blackrock Inc.	59481292	2020-06-29	0.0708	4828691284
2	State Street Corporation	45173071	2020-06-29	0.0538	3667149903
3	Capital Research Global Investors	34764324	2020-06-29	0.0414	2822167822
4	Wellington Management Company, LLP	34118703	2020-06-29	0.0406	2769756309
5	Franklin Resources, Inc.	20921083	2020-06-29	0.024900000000000002	1698373517
6	Geode Capital Management, LLC	12426155	2020-06-29	0.0148	1008755262
7	Massachusetts Financial Services Co.	12036477	2020-06-29	0.0143	977121202
8	FMR, LLC	11545773	2020-06-29	0.0137	937285852
9	Northern Trust Corporation	10149114	2020-06-29	0.0121	823905074
