	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19843920	2020-09-29	0.0907	2270739765
1	Blackrock Inc.	18099745	2020-09-29	0.0827	2071153820
2	State Street Corporation	11139445	2020-09-29	0.0509	1274686691
3	FMR, LLC	9792447	2020-09-29	0.0447	1120549710
4	Baker Brothers Advisors, LLC	8760794	2020-09-29	0.04	1002497657
5	ClearBridge Investments, LLC	6408230	2020-09-29	0.029300000000000003	733293758
6	Ameriprise Financial, Inc.	5100886	2020-09-29	0.0233	583694384
7	Renaissance Technologies, LLC	4757243	2020-09-29	0.0217	544371316
8	JP Morgan Chase & Company	4199711	2020-09-29	0.0192	480572929
9	Geode Capital Management, LLC	3788709	2020-09-29	0.0173	433541970
