	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	69956785	2020-06-29	0.0771	2554821788
1	Dodge & Cox Inc	66337971	2020-06-29	0.0731	2422662700
2	Vanguard Group, Inc. (The)	62149805	2020-06-29	0.06849999999999999	2269710878
3	Price (T.Rowe) Associates Inc	37818072	2020-06-29	0.0417	1381115989
4	State Street Corporation	36551714	2020-06-29	0.0403	1334868595
5	FMR, LLC	33554136	2020-06-29	0.037000000000000005	1225397046
6	Wellington Management Company, LLP	32755395	2020-06-29	0.0361	1196227025
7	Franklin Resources, Inc.	16571330	2020-06-29	0.0183	605184971
8	JP Morgan Chase & Company	14275421	2020-06-29	0.015700000000000002	521338374
9	Geode Capital Management, LLC	11431223	2020-06-29	0.0126	417468263
