	0	1
Earnings Date	2020-10-28 00:00:00	2020-11-02 00:00:00
Earnings Average	1.6	1.6
Earnings Low	1.32	1.32
Earnings High	1.79	1.79
Revenue Average	15693100000	15693100000
Revenue Low	15485000000	15485000000
Revenue High	15901200000	15901200000
