	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	21810431	2020-06-29	0.0673	1869808249
1	Price (T.Rowe) Associates Inc	18187272	2020-06-29	0.056100000000000004	1559194828
2	Blackrock Inc.	16474108	2020-06-29	0.0508	1412325278
3	Eagle Capital Management LLC	13778411	2020-06-29	0.0425	1181223175
4	State Street Corporation	11464425	2020-06-29	0.0353	982845155
5	FMR, LLC	7882922	2020-06-29	0.024300000000000002	675802903
6	Capital Research Global Investors	7778707	2020-06-29	0.024	666868551
7	Capital World Investors	5994293	2020-06-29	0.018500000000000003	513890738
8	Massachusetts Financial Services Co.	5106970	2020-06-29	0.015700000000000002	437820538
9	Geode Capital Management, LLC	4009113	2020-06-29	0.0124	343701257
