	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	42288336	2020-06-29	0.1572	6009595428
1	Capital World Investors	24111873	2020-06-29	0.08960000000000001	3426538272
2	Blackrock Inc.	23801824	2020-06-29	0.0885	3382477208
3	State Street Corporation	17101663	2020-06-29	0.0636	2430317328
4	Capital Research Global Investors	10320478	2020-06-29	0.0384	1466643128
5	Apg Asset Management Us Inc.	9532000	2020-06-29	0.0354	1354592520
6	FMR, LLC	9294939	2020-06-29	0.0346	1320903781
7	Bank of America Corporation	6412857	2020-06-29	0.023799999999999998	911331108
8	Capital International Investors	5598529	2020-06-29	0.0208	795606956
9	Geode Capital Management, LLC	5120789	2020-06-29	0.019	727715324
