	0	1
Earnings Date	2020-10-26 00:00:00	2020-10-30 00:00:00
Earnings Average	-0.09	-0.09
Earnings Low	-0.23	-0.23
Earnings High	0.06	0.06
Revenue Average	428250000	428250000
Revenue Low	374000000	374000000
Revenue High	512750000	512750000
