	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	43402982	2020-06-29	0.0799	3975713151
1	Blackrock Inc.	38579529	2020-06-29	0.0711	3533884856
2	State Street Corporation	23759427	2020-06-29	0.0438	2176363513
3	Price (T.Rowe) Associates Inc	22624280	2020-06-29	0.0417	2072384048
4	Capital International Investors	22437383	2020-06-29	0.041299999999999996	2055264282
5	Capital World Investors	18047368	2020-06-29	0.0332	1653138908
6	Lazard Asset Management LLC	15475628	2020-06-29	0.0285	1417567524
7	Northern Trust Corporation	10488885	2020-06-29	0.019299999999999998	960781866
8	FMR, LLC	8644090	2020-06-29	0.0159	791798644
9	Bank of America Corporation	8400857	2020-06-29	0.0155	769518501
