	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19684743	2020-06-29	0.0867	2431065760
1	Blackrock Inc.	18566180	2020-06-29	0.0818	2292923230
2	State Street Corporation	12276603	2020-06-29	0.0541	1516160470
3	JP Morgan Chase & Company	9585627	2020-06-29	0.042199999999999994	1183824934
4	Sarofim, Fayez	8047550	2020-06-29	0.0355	993872425
5	Geode Capital Management, LLC	4346414	2020-06-29	0.0191	536782129
6	Massachusetts Financial Services Co.	3336987	2020-06-29	0.0147	412117894
7	Bank of America Corporation	3121124	2020-06-29	0.0138	385458814
8	Northern Trust Corporation	2830410	2020-06-29	0.0125	349555635
9	Charles Schwab Investment Management, Inc.	2730878	2020-06-29	0.012	337263433
