	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	0.52	0.52
Earnings Low	0.48	0.48
Earnings High	0.61	0.61
Revenue Average	928140000	928140000
Revenue Low	914280000	914280000
Revenue High	943300000	943300000
