	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	14723984	2020-06-29	0.106	577621892
1	Blackrock Inc.	14140699	2020-06-29	0.1018	554739621
2	Peconic Partners, LLC	5686204	2020-06-29	0.040999999999999995	223069782
3	State Street Corporation	4586474	2020-06-29	0.033	179927375
4	Bank Of New York Mellon Corporation	4170430	2020-06-29	0.03	163605968
5	Dimensional Fund Advisors LP	4149205	2020-06-29	0.029900000000000003	162773312
6	Barrow, Hanley Mewhinney & Strauss, LLC	3926089	2020-06-29	0.028300000000000002	154020471
7	Massachusetts Financial Services Co.	3826693	2020-06-29	0.0276	150121166
8	Lyrical Asset Management LP	3517867	2020-06-29	0.0253	138005922
9	Frontier Capital Management Company LLC	3189536	2020-06-29	0.023	125125497
