	Holder	Shares	Date Reported	% Out	Value
0	Lone Pine Capital, LLC	13522973	Mar 30, 2020	45.08%	367689635
1	Capital Research Global Investors	10087718	Mar 30, 2020	33.63%	274285052
2	Bank of America Corporation	5527762	Mar 30, 2020	18.43%	150299848
3	Winslow Capital Management, Llc	5166031	Mar 30, 2020	17.22%	140464382
4	Blackrock Inc.	4838214	Mar 30, 2020	16.13%	131551038
5	Melvin Capital Management LP	2400000	Mar 30, 2020	8.00%	65256000
6	Susquehanna International Group, LLP	2178593	Mar 30, 2020	7.26%	59235943
7	Renaissance Technologies, LLC	2129300	Mar 30, 2020	7.10%	57895667
8	Tybourne Capital Management (HK) Limited	2117700	Mar 30, 2020	7.06%	57580263
9	Vanguard Group, Inc. (The)	1886443	Mar 30, 2020	6.29%	51292385
