	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	55697215	2020-06-29	0.0873	1562306880
1	Blackrock Inc.	34612141	2020-06-29	0.054299999999999994	970870555
2	Primecap Management Company	23756665	2020-06-29	0.037200000000000004	666374453
3	State Street Corporation	19600218	2020-06-29	0.030699999999999998	549786114
4	Capital World Investors	12751359	2020-06-29	0.02	357675619
5	Newport Trust Co	12607871	2020-06-29	0.019799999999999998	353650781
6	Geode Capital Management, LLC	9514162	2020-06-29	0.0149	266872244
7	Lansdowne Partners (UK) LLP	8643792	2020-06-29	0.013600000000000001	242458365
8	Dimensional Fund Advisors LP	7864685	2020-06-29	0.0123	220604414
9	Gallagher Fiduciary Advisors, LLC	7811320	2020-06-29	0.012199999999999999	219107526
