	Holder	Shares	Date Reported	% Out	Value
0	Capital Research Global Investors	22063262	2020-09-29	0.1215	1678572972
1	Primecap Management Company	18191541	2020-09-29	0.1002	1384012439
2	Vanguard Group, Inc. (The)	16335436	2020-09-29	0.09	1242799970
3	Blackrock Inc.	14635522	2020-09-29	0.0806	1113470513
4	Dodge & Cox Inc	7720223	2020-09-29	0.0425	587354565
5	Baker Brothers Advisors, LLC	7589294	2020-09-29	0.0418	577393487
6	ClearBridge Investments, LLC	6172328	2020-09-29	0.034	469590714
7	Janus Henderson Group PLC	5214710	2020-09-29	0.0287	396735136
8	State Street Corporation	4891801	2020-09-29	0.0269	372168220
9	JP Morgan Chase & Company	3219869	2020-09-29	0.0177	244967633
