	Holder	Shares	Date Reported	% Out	Value
0	Invesco Ltd.	4331360	2020-06-29	0.045899999999999996	578972891
1	Price (T.Rowe) Associates Inc	3791633	2020-06-29	0.04019999999999999	506827583
2	JP Morgan Chase & Company	3656418	2020-06-29	0.0387	488753394
3	Blackrock Inc.	3521178	2020-06-29	0.0373	470675863
4	State Street Corporation	2597218	2020-06-29	0.0275	347170130
5	FMR, LLC	2591488	2020-06-29	0.0275	346404200
6	Baillie Gifford and Company	1934253	2020-06-29	0.020499999999999997	258551598
7	Genesis Investment Management, LLP	1566529	2020-06-29	0.0166	209397931
8	Royal Bank of Canada	1418327	2020-06-29	0.015	189587770
9	Federated Hermes, Inc.	1312768	2020-06-29	0.0139	175477698
