	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	13810027	2020-06-29	0.1522	802914969
1	Blackrock Inc.	7471600	2020-06-29	0.0823	434398824
2	Vanguard Group, Inc. (The)	6521075	2020-06-29	0.0718	379135300
3	Capital World Investors	4245285	2020-06-29	0.046799999999999994	246820869
4	Franklin Resources, Inc.	3622533	2020-06-29	0.039900000000000005	210614068
5	Artisan Partners Limited Partnership	3536256	2020-06-29	0.039	205597923
6	Ownership Capital B.V.	2962821	2020-06-29	0.0326	172258412
7	Manufacturers Life Insurance Co.	2496814	2020-06-29	0.0275	145164765
8	Wells Fargo & Company	2254761	2020-06-29	0.0248	131091804
9	Champlain Investment Partners, LLC	1958285	2020-06-29	0.0216	113854689
