	Holder	Shares	Date Reported	% Out	Value
0	First Eagle Investment Management, LLC	209032680	2020-06-29	0.163	551846275
1	Harding Loevner LLC	198607689	2020-06-29	0.1548	524324298
2	Westwood Global Investments, LLC	71354826	2020-06-29	0.0556	188376740
3	Vontobel Asset Management, Inc.	56757386	2020-06-29	0.0443	149839499
4	Credit Suisse Ag/	53504466	2020-06-29	0.0417	141251790
5	AKO Capital LLP	51823331	2020-06-29	0.0404	136813593
6	JP Morgan Chase & Company	51413971	2020-06-29	0.0401	135732883
7	Massachusetts Financial Services Co.	49161459	2020-06-29	0.0383	129786251
8	Renaissance Technologies, LLC	46525386	2020-06-29	0.0363	122827019
9	Sprucegrove Investment Management Ltd	42531700	2020-06-29	0.0332	112283688
