	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	18254753	2020-06-29	0.0986	3143651014
1	Vanguard Group, Inc. (The)	15953838	2020-06-29	0.0862	2747410441
2	Blackrock Inc.	9956648	2020-06-29	0.0538	1714634352
3	Capital Research Global Investors	4201339	2020-06-29	0.0227	723512589
4	State Street Corporation	3608316	2020-06-29	0.0195	621388098
5	Whale Rock Capital Management LLC	3144914	2020-06-29	0.017	541585639
6	American Century Companies, Inc.	2729979	2020-06-29	0.0147	470129683
7	Franklin Resources, Inc.	2698207	2020-06-29	0.0146	464658227
8	First Trust Advisors LP	2662786	2020-06-29	0.0144	458558377
9	Morgan Stanley	2620306	2020-06-29	0.014199999999999999	451242896
