	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	75073023	2020-06-29	0.08220000000000001	4538164240
1	Blackrock Inc.	72115670	2020-06-29	0.079	4359392251
2	Price (T.Rowe) Associates Inc	57247351	2020-06-29	0.06269999999999999	3460602367
3	State Street Corporation	44106974	2020-06-29	0.0483	2666266578
4	Capital World Investors	25670257	2020-06-29	0.0281	1551767035
5	Capital International Investors	19233070	2020-06-29	0.021099999999999997	1162639081
6	Invesco Ltd.	18905173	2020-06-29	0.0207	1142817707
7	Bank Of New York Mellon Corporation	17970360	2020-06-29	0.0197	1086308262
8	Parnassus Investments /ca	16770298	2020-06-29	0.0184	1013764514
9	Davis Selected Advisers, LP	16280279	2020-06-29	0.0178	984142865
