	0	1
Earnings Date	2020-10-28 00:00:00	2020-11-02 00:00:00
Earnings Average	0.89	0.89
Earnings Low	0.82	0.82
Earnings High	0.96	0.96
Revenue Average	4140950000	4140950000
Revenue Low	4036000000	4036000000
Revenue High	4196800000	4196800000
