	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	10526953	2020-06-29	0.09759999999999999	784152728
1	Price (T.Rowe) Associates Inc	8488105	2020-06-29	0.0787	632278941
2	Blackrock Inc.	6913200	2020-06-29	0.0641	514964268
3	Capital International Investors	4318629	2020-06-29	0.04	321694674
4	State Street Corporation	3962675	2020-06-29	0.036699999999999997	295179660
5	Capital World Investors	3059720	2020-06-29	0.028399999999999998	227918542
6	Nuveen Asset Management	2088646	2020-06-29	0.0194	155583240
7	Susquehanna International Group, LLP	1891137	2020-06-29	0.0175	140870795
8	Geode Capital Management, LLC	1634921	2020-06-29	0.0152	121785265
9	Melvin Capital Management LP	1400000	2020-06-29	0.013000000000000001	104286000
