	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	18019773	2020-06-29	0.0886	571407001
1	Caledonia (Private) Investments Pty Ltd	17083828	2020-06-29	0.084	541728185
2	Blackrock Inc.	13708538	2020-06-29	0.0674	434697739
3	Janus Henderson Group PLC	12534427	2020-06-29	0.0616	397466680
4	Manufacturers Life Insurance Co.	11650466	2020-06-29	0.057300000000000004	369436276
5	Ruane, Cunniff & Goldfarb L.P.	10228970	2020-06-29	0.050300000000000004	324360638
6	Naya Capital Management Uk Ltd	10031277	2020-06-29	0.0493	318091793
7	Principal Financial Group, Inc.	5981795	2020-06-29	0.0294	189682719
8	Eminence Capital, LP	5859455	2020-06-29	0.0288	185803318
9	Ashe Capital Management, LP	5851525	2020-06-29	0.0288	185551857
