	Holder	Shares	Date Reported	% Out	Value
0	Investor AB	19394142	2020-06-29	0.11810000000000001	2317018144
1	Massachusetts Financial Services Co.	15571678	2020-06-29	0.09480000000000001	1860348370
2	Vanguard Group, Inc. (The)	12825083	2020-06-29	0.0781	1532212666
3	Capital World Investors	9177273	2020-06-29	0.0559	1096408805
4	Blackrock Inc.	7745044	2020-06-29	0.0472	925300406
5	State Street Corporation	5203646	2020-06-29	0.0317	621679587
6	Capital Research Global Investors	2162269	2020-06-29	0.0132	258326277
7	Geode Capital Management, LLC	2025860	2020-06-29	0.0123	242029494
8	Capital International Investors	2004441	2020-06-29	0.012199999999999999	239470566
9	Findlay Park Parnters LLP	1735431	2020-06-29	0.0106	207331941
