	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	8168358	2020-06-29	0.07429999999999999	7753405413
1	Capital World Investors	5929452	2020-06-29	0.053899999999999997	5628235838
2	Baillie Gifford and Company	5810601	2020-06-29	0.0529	5515422469
3	Morgan Stanley	5511243	2020-06-29	0.0501	5231271855
4	Jennison Associates LLC	3300244	2020-06-29	0.03	3132591604
5	WCM Investment Management, LLC	3281079	2020-06-29	0.029900000000000003	3114400186
6	Vanguard Group, Inc. (The)	3082643	2020-06-29	0.027999999999999997	2926044735
7	FIL LTD	2273022	2020-06-29	0.0207	2157552482
8	Price (T.Rowe) Associates Inc	1956006	2020-06-29	0.0178	1856640895
9	Lone Pine Capital, LLC	1673742	2020-06-29	0.0152	1588715906
