	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	9180660	2020-06-29	0.0755	174524346
1	Blackrock Inc.	8761797	2020-06-29	0.07200000000000001	166561760
2	Eagle Capital Management LLC	8252656	2020-06-29	0.0678	156882990
3	Renaissance Technologies, LLC	5671384	2020-06-29	0.0466	107813009
4	FIL LTD	4097347	2020-06-29	0.0337	77890566
5	Polar Capital LLP	3886053	2020-06-29	0.0319	73873867
6	Arrowstreet Capital, Limited Partnership	2850187	2020-06-29	0.023399999999999997	54182054
7	PAR Capital Management, Inc.	2613100	2020-06-29	0.0215	49675031
8	Shaw D.E. & Co., Inc.	2402370	2020-06-29	0.0197	45669053
9	State Street Corporation	2337386	2020-06-29	0.0192	44433707
