Date	Firm	To Grade	From Grade	Action
2019-05-03	Deutsche Bank	Buy	Hold	up
2019-05-09	Stifel Nicolaus	Hold		main
2019-05-09	Barclays	Overweight		main
2019-05-21	Guggenheim	Neutral	Sell	up
2019-06-27	DA Davidson	Buy	Neutral	up
2019-08-06	Deutsche Bank	Buy		main
2019-08-09	Credit Suisse	Neutral		main
2019-08-09	Deutsche Bank	Buy		main
2019-08-09	Bank of America	Underperform		reit
2019-08-09	Barclays	Overweight		main
2019-09-04	UBS	Neutral	Sell	up
2019-10-22	Deutsche Bank	Buy		main
2019-11-08	DA Davidson	Buy		main
2019-11-08	Stifel Nicolaus	Hold		main
2019-11-08	UBS	Neutral		main
2019-11-08	JP Morgan	Underweight	Neutral	down
2019-11-14	SunTrust Robinson Humphrey	Buy		main
2019-11-18	Cowen & Co.	Market Perform	Underperform	up
2019-11-18	Consumer Edge Research	Underweight		init
2020-02-14	Needham	Buy		main
2020-02-14	Wedbush	Neutral		main
2020-03-06	Citigroup	Neutral		init
2020-03-18	JP Morgan	Underweight		main
2020-04-20	Citigroup	Neutral		main
2020-04-21	UBS	Neutral		main
2020-04-21	Credit Suisse	Neutral		main
2020-04-29	SunTrust Robinson Humphrey	Buy		main
2020-05-05	Needham	Buy		main
2020-05-06	Deutsche Bank	Hold	Buy	down
2020-05-11	Stifel	Hold		main
2020-05-11	Credit Suisse	Neutral		main
2020-05-11	Barclays	Overweight		main
2020-05-11	Mizuho	Neutral		main
2020-05-11	UBS	Neutral		main
2020-05-12	SunTrust Robinson Humphrey	Buy		main
2020-05-21	DA Davidson	Buy		main
2020-06-11	BTIG	Neutral		init
2020-08-10	Truist Securities	Buy		main
2020-08-17	Wells Fargo	Equal-Weight		main
