	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	22876356	2020-09-29	0.092	6144360458
1	Vanguard Group, Inc. (The)	19329733	2020-09-29	0.07769999999999999	5191772986
2	Price (T.Rowe) Associates Inc	13700788	2020-09-29	0.055099999999999996	3679894648
3	State Street Corporation	10925649	2020-09-29	0.043899999999999995	2934520064
4	Wellington Management Company, LLP	9505606	2020-09-29	0.0382	2553110715
5	FMR, LLC	8488325	2020-09-29	0.0341	2279879211
6	Optimal Asset Management, Inc.	4780839	2020-09-29	0.0192	1284085547
7	Capital International Investors	4772040	2020-09-29	0.0192	1281722223
8	Baillie Gifford and Company	4043350	2020-09-29	0.0163	1086003376
9	Invesco Ltd.	3998554	2020-09-29	0.0161	1073971618
