	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	38504985	2020-09-29	0.1137	1071593732
1	Vanguard Group, Inc. (The)	33925858	2020-09-29	0.1001	944156628
2	Dodge & Cox Inc	32273736	2020-09-29	0.0953	898178072
3	Baupost Group, Inc,.(The) LLC	26972720	2020-09-29	0.0796	750650797
4	Independent Franchise Partners, LLP	25076383	2020-09-29	0.07400000000000001	697875738
5	State Street Corporation	16422230	2020-09-29	0.048499999999999995	457030660
6	Morgan Stanley	12914598	2020-09-29	0.0381	359413262
7	Rothschild & Co Wealth Management Uk Ltd	12012655	2020-12-30	0.0355	349808513
8	Ninety One UK Ltd	8550112	2020-09-29	0.0252	237949616
9	Renaissance Technologies, LLC	7971511	2020-09-29	0.0235	221847151
