Date	Dividends	Stock Splits
2006-03-28	0.0	4.0
2013-01-11	1.0	0.0
2014-02-24	1.41	0.0
2014-05-23	0.34	0.0
2014-08-27	0.37	0.0
2014-11-26	0.36	0.0
2015-02-23	0.39	0.0
2015-05-22	0.39	0.0
2015-08-26	0.44	0.0
2015-11-24	0.56	0.0
2016-03-09	0.64	0.0
2016-05-23	0.73	0.0
2016-08-29	0.78	0.0
2016-11-22	0.78	0.0
2017-03-01	1.01	0.0
2017-05-24	1.08	0.0
2017-08-23	0.83	0.0
2017-11-30	0.72	0.0
2018-02-22	0.38	0.0
2018-05-31	0.23	0.0
2018-08-23	0.61	0.0
2018-11-29	0.45	0.0
2019-03-07	0.48	0.0
2019-05-30	0.69	0.0
2019-08-22	1.04	0.0
2019-12-05	7.59	0.0
2020-03-12	1.02	0.0
2020-06-11	1.16	0.0
2020-08-26	1.485	0.0
