Date	Firm	To Grade	From Grade	Action
2018-07-17 12:13:54	Cowen & Co.	Market Perform	Market Perform	main
2018-09-27 11:38:28	Deutsche Bank	Buy	Buy	main
2018-10-16 12:40:07	Credit Suisse	Outperform	Outperform	main
2018-11-02 15:53:11	Citigroup	Neutral	Neutral	main
2018-12-04 14:06:02	UBS	Buy	Buy	main
2019-01-07 13:49:20	Morgan Stanley	Equal-Weight	Equal-Weight	main
2019-04-02 12:42:47	Buckingham	Buy	Buy	main
2019-04-04 14:36:26	Barclays	Equal-Weight	Equal-Weight	main
2019-04-16 13:03:36	Stifel Nicolaus	Hold	Hold	main
2019-04-16 13:22:46	BMO Capital	Market Perform	Market Perform	main
2019-04-16 13:49:43	Morgan Stanley	Equal-Weight	Equal-Weight	main
2019-04-17 13:26:51	Argus	Hold	Buy	down
2019-04-18 11:02:05	Deutsche Bank	Sell	Buy	down
2019-05-28 15:21:46	Bank of America	Neutral	Buy	down
2019-06-18 12:18:44	UBS	Neutral	Buy	down
2019-07-11 12:36:56	Credit Suisse	Neutral	Outperform	down
2019-07-16 11:43:50	Credit Suisse	Neutral		main
2019-07-16 12:14:21	Stifel Nicolaus	Hold		main
2019-09-11 11:11:25	Loop Capital	Hold	Buy	down
2019-10-08 12:45:50	Susquehanna	Neutral	Positive	down
2019-10-16 12:57:06	Morgan Stanley	Equal-Weight		main
2019-10-16 13:24:41	UBS	Neutral		main
2019-11-11 14:44:12	Barclays	Equal-Weight		main
2020-01-02 13:56:35	Stephens & Co.	Overweight		main
2020-01-06 13:41:22	Bernstein	Market Perform	Outperform	down
2020-01-21 11:25:22	Raymond James	Outperform	Market Perform	up
2020-01-21 13:06:51	Credit Suisse	Neutral		main
2020-01-21 13:10:10	Stephens & Co.	Overweight		main
2020-03-16 14:27:59	UBS	Neutral		main
2020-04-06 10:15:39	Stephens & Co.	Overweight		main
2020-04-08 18:13:39	Morgan Stanley	Equal-Weight		main
2020-04-15 10:29:32	Stephens & Co.	Overweight		main
2020-04-15 11:19:02	Raymond James	Outperform		main
2020-04-15 12:28:09	Credit Suisse	Neutral		main
2020-04-15 13:40:09	UBS	Neutral		main
2020-04-15 14:19:03	Morgan Stanley	Equal-Weight		main
2020-04-17 15:37:09	Argus Research	Buy	Hold	up
2020-05-26 09:53:57	Baird	Outperform	Neutral	up
2020-06-17 12:03:10	Deutsche Bank	Sell		main
2020-06-23 08:35:52	KeyBanc	Overweight	Sector Weight	up
2020-07-06 12:09:59	Morgan Stanley	Equal-Weight		main
2020-07-08 11:06:28	Citigroup	Neutral		main
2020-07-20 14:05:30	Argus Research	Buy		main
2020-07-24 15:11:47	Stifel	Hold		main
