	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	23117687	2020-09-29	0.07690000000000001	33881282067
1	Blackrock Inc.	20386855	2020-09-29	0.0678	29878974688
2	FMR, LLC	12612173	2020-09-29	0.042	18484400748
3	State Street Corporation	11732025	2020-09-29	0.039	17194455840
4	Price (T.Rowe) Associates Inc	6736734	2020-09-29	0.022400000000000003	9873357350
5	Wellington Management Company, LLP	5124347	2020-09-29	0.017	7510242963
6	Norges Bank Investment Management	5082064	2019-12-30	0.0169	6806865700
7	Geode Capital Management, LLC	4855214	2020-09-29	0.0161	7115801638
8	Northern Trust Corporation	3834588	2020-09-29	0.0128	5619972172
9	Bank of America Corporation	3724597	2020-09-29	0.0124	5458769363
