	Holder	Shares	Date Reported	% Out	Value
0	State Street Corporation	16528142	2020-06-29	0.09910000000000001	5081411976
1	Capital International Investors	16304392	2020-06-29	0.0978	5012622276
2	Vanguard Group, Inc. (The)	12868659	2020-06-29	0.07719999999999999	3956340522
3	Blackrock Inc.	9886106	2020-06-29	0.0593	3039384428
4	Wellington Management Company, LLP	7147217	2020-06-29	0.0429	2197340394
5	Capital World Investors	6785395	2020-06-29	0.0407	2086101838
6	Massachusetts Financial Services Co.	5929222	2020-06-29	0.0356	1822880011
7	FMR, LLC	5228834	2020-06-29	0.031400000000000004	1607552724
8	JP Morgan Chase & Company	3258726	2020-06-29	0.0195	1001862721
9	Bank of America Corporation	2893591	2020-06-29	0.0174	889605617
