	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	45485414	2020-06-29	0.11710000000000001	557196321
1	Pzena Investment Management, LLC	31571668	2020-06-29	0.08130000000000001	386752933
2	Blackrock Inc.	28231289	2020-06-29	0.0727	345833290
3	Dodge & Cox Inc	24862742	2020-06-29	0.064	304568589
4	Hotchkis & Wiley Capital Management, LLC	24837152	2020-06-29	0.064	304255112
5	First Eagle Investment Management, LLC	23742048	2020-06-29	0.0611	290840088
6	State Street Corporation	20848530	2020-06-29	0.0537	255394492
7	Vulcan Value Partners, LLC	19638173	2020-06-29	0.0506	240567619
8	Harris Associates L.P.	9303736	2020-06-29	0.024	113970766
9	ClearBridge Investments, LLC	7380135	2020-06-29	0.019	90406653
