	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	2306181	2020-06-29	0.09380000000000001	1041217659
1	Blackrock Inc.	1582321	2020-06-29	0.0644	714402108
2	State Street Corporation	926942	2020-06-29	0.0377	418505043
3	FMR, LLC	815833	2020-06-29	0.0332	368340441
4	American Century Companies, Inc.	663860	2020-06-29	0.027000000000000003	299726151
5	Wells Fargo & Company	528987	2020-06-29	0.0215	238832340
6	Atlanta Capital Management Company LLC	451579	2020-06-29	0.0184	203883402
7	Brown Advisory Inc.	415132	2020-06-29	0.0169	187427946
8	Ubs Asset Management Americas Inc	412572	2020-06-29	0.0168	186272132
9	AllianceBernstein, L.P.	400930	2020-06-29	0.0163	181015885
