	0	1
Earnings Date	2020-10-20 00:00:00	2020-10-26 00:00:00
Earnings Average	1.26	1.26
Earnings Low	1.22	1.22
Earnings High	1.37	1.37
Revenue Average	3425850000	3425850000
Revenue Low	3399000000	3399000000
Revenue High	3535000000	3535000000
