	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	86651170	2020-06-29	0.0946	11002099054
1	Blackrock Inc.	70181716	2020-06-29	0.0766	8910972480
2	State Street Corporation	40921106	2020-06-29	0.0447	5195752828
3	JP Morgan Chase & Company	32263424	2020-06-29	0.0352	4096486945
4	Primecap Management Company	26355293	2020-06-29	0.0288	3346331552
5	Bank of America Corporation	21899420	2020-06-29	0.0239	2780569357
6	Massachusetts Financial Services Co.	21115953	2020-06-29	0.0231	2681092552
7	Wellington Management Company, LLP	21047034	2020-06-29	0.023	2672341906
8	Geode Capital Management, LLC	15486203	2020-06-29	0.0169	1966283194
9	Bank Of New York Mellon Corporation	14957906	2020-06-29	0.0163	1899205324
