	Holder	Shares	Date Reported	% Out	Value
0	Primecap Management Company	63499262	2020-06-29	0.11410000000000001	310511391
1	Fairfax Financial Holdings Ltd/ Can	46724700	2020-06-29	0.084	228483783
2	Ontario Teachers' Pension Plan Board	19820213	2020-06-29	0.0356	96920841
3	Vanguard Group, Inc. (The)	14778406	2020-06-29	0.026600000000000002	72266405
4	Arrowstreet Capital, Limited Partnership	8686319	2020-06-29	0.015600000000000001	42476099
5	Harris Associates L.P.	7195700	2020-06-29	0.0129	35186973
6	ETF Managers Group, LLC	6837256	2020-06-29	0.0123	33434181
7	Kahn Brothers Group Inc.	5714586	2020-06-29	0.0103	27944325
8	Dimensional Fund Advisors LP	5036579	2020-06-29	0.0091	24628871
9	Norges Bank Investment Management	5018436	2019-12-30	0.009000000000000001	32218359
