	0	1
Earnings Date	2020-11-04 00:00:00	2020-11-09 00:00:00
Earnings Average	0.3	0.3
Earnings Low	0.22	0.22
Earnings High	0.35	0.35
Revenue Average	5140380000	5140380000
Revenue Low	5083590000	5083590000
Revenue High	5240000000	5240000000
