Date	Dividends	Stock Splits
2006-08-31	0.0625	0.0
2006-11-22	0.0625	0.0
2007-03-08	0.065	0.0
2007-05-31	0.065	0.0
2007-08-30	0.065	0.0
2007-11-23	0.065	0.0
2008-03-06	0.0675	0.0
2008-06-09	0.0675	0.0
2008-07-02	0.632	0.0
2008-09-05	0.7	0.0
2008-11-28	0.7	0.0
2009-03-13	0.7	0.0
2009-06-12	0.7	0.0
2009-09-03	0.7	0.0
2009-11-30	0.7	0.0
2010-03-05	0.725	0.0
2010-06-04	0.725	0.0
2010-09-02	0.725	0.0
2010-12-03	0.725	0.0
2011-02-16	0.725	0.0
2011-06-02	0.725	0.0
2011-09-01	0.725	0.0
2011-12-02	0.725	0.0
2012-03-02	0.725	0.0
2012-06-01	0.725	0.0
2012-09-07	0.725	0.0
2012-12-07	0.725	0.0
2013-03-07	0.54	0.0
2013-05-30	0.54	0.0
2013-09-04	0.54	0.0
2013-11-21	0.54	0.0
2014-03-06	0.54	0.0
2014-06-05	0.54	0.0
2014-08-27	0.54	0.0
2014-11-20	0.54	0.0
2015-03-04	0.54	0.0
2015-05-29	0.54	0.0
2015-09-03	0.54	0.0
2015-11-20	0.54	0.0
2016-03-02	0.54	0.0
2016-05-26	0.54	0.0
2016-08-31	0.54	0.0
2016-11-23	0.54	0.0
2017-03-01	0.54	0.0
2017-06-01	0.54	0.0
2017-08-31	0.54	0.0
2017-11-24	0.54	0.0
2018-03-02	0.54	0.0
2018-06-01	0.54	0.0
2018-08-30	0.54	0.0
2018-11-23	0.54	0.0
2019-03-11	0.25	0.0
2019-05-31	0.25	0.0
2019-08-29	0.25	0.0
2019-11-29	0.25	0.0
2020-03-06	0.25	0.0
2020-05-29	0.25	0.0
2020-08-28	0.25	0.0
