	Holder	Shares	Date Reported	% Out	Value
0	Berkshire Hathaway, Inc	325634818	2020-06-29	0.2664	10384494346
1	Vanguard Group, Inc. (The)	57046601	2020-06-29	0.0467	1819216105
2	Blackrock Inc.	41634109	2020-06-29	0.0341	1327711736
3	State Street Corporation	31226954	2020-06-29	0.0255	995827563
4	Franklin Resources, Inc.	19489988	2020-06-29	0.0159	621535717
5	Invesco Ltd.	10782563	2020-06-29	0.0088	343855934
6	Geode Capital Management, LLC	10082287	2020-06-29	0.008199999999999999	321524132
7	Northern Trust Corporation	7866609	2020-06-29	0.0064	250866161
8	American International Group Inc	7565946	2020-06-29	0.0062	241278017
9	Norges Bank Investment Management	7311290	2019-12-30	0.006	234911747
