	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	144334850	2020-09-29	0.0818	12642289511
1	Blackrock Inc.	122016637	2020-09-29	0.0691	10687437234
2	State Street Corporation	78208461	2020-09-29	0.0443	6850279098
3	Capital Research Global Investors	40804113	2020-09-29	0.0231	3574032257
4	Price (T.Rowe) Associates Inc	32739879	2020-09-29	0.018500000000000003	2867686001
5	FMR, LLC	30257179	2020-09-29	0.0171	2650226308
6	JP Morgan Chase & Company	29190573	2020-09-29	0.0165	2556802289
7	Geode Capital Management, LLC	26135072	2020-09-29	0.0148	2289170956
8	Northern Trust Corporation	24363192	2020-09-29	0.0138	2133971987
9	Berkshire Hathaway, Inc	21264316	2020-09-29	0.012	1862541438
