	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	2220274	2020-06-29	0.0951	2504735504
1	Blackrock Inc.	1774341	2020-06-29	0.076	2001669568
2	Nordea Investment Management Ab	1069736	2020-06-29	0.0458	1206790576
3	State Street Corporation	1061273	2020-06-29	0.0454	1197243296
4	FMR, LLC	1039059	2020-06-29	0.044500000000000005	1172183239
5	Melvin Capital Management LP	872481	2020-06-29	0.0374	984263265
6	JP Morgan Chase & Company	712276	2020-06-29	0.0305	803532801
7	Boston Partners	683684	2020-06-29	0.029300000000000003	771277594
8	Fiera Capital Corporation	679818	2020-06-29	0.0291	766916282
9	AllianceBernstein, L.P.	406282	2020-06-29	0.0174	458334849
