	0	1
Earnings Date	2020-12-08 00:00:00	2020-12-14 00:00:00
Earnings Average	17.15	17.15
Earnings Low	15.76	15.76
Earnings High	18.59	18.59
Revenue Average	3107070000	3107070000
Revenue Low	2963600000	2963600000
Revenue High	3220900000	3220900000
