	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	18255301	2020-06-29	0.11220000000000001	1954960184
1	Blackrock Inc.	14098941	2020-06-29	0.0867	1509855591
2	ClearBridge Investments, LLC	8006693	2020-06-29	0.0492	857436753
3	State Street Corporation	7160105	2020-06-29	0.044000000000000004	766775644
4	Canada Pension Plan Investment Board	4703541	2020-06-29	0.028900000000000002	503702205
5	FMR, LLC	4054707	2020-06-29	0.024900000000000002	434218572
6	First Trust Advisors LP	3910932	2020-06-29	0.024	418821707
7	Bank of America Corporation	3822972	2020-06-29	0.0235	409402071
8	Nordea Investment Management Ab	3652436	2020-06-29	0.022400000000000003	391139371
9	Geode Capital Management, LLC	2823564	2020-06-29	0.0174	302375468
