	0	1
Earnings Date	2020-10-26 00:00:00	2020-10-30 00:00:00
Earnings Average	1.23	1.23
Earnings Low	1.2	1.2
Earnings High	1.27	1.27
Revenue Average	775180000	775180000
Revenue Low	762620000	762620000
Revenue High	783650000	783650000
