	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	6110141	2020-06-29	0.094	81875889
1	Capital Research Global Investors	5935563	2020-06-29	0.0913	79536544
2	Vanguard Group, Inc. (The)	4726485	2020-06-29	0.0727	63334899
3	Ameriprise Financial, Inc.	2809888	2020-06-29	0.0432	37652499
4	Putnam Investments LLC	2807404	2020-06-29	0.0432	37619213
5	Franklin Resources, Inc.	2684400	2020-06-29	0.041299999999999996	35970960
6	FMR, LLC	2574700	2020-06-29	0.039599999999999996	34500980
7	Wells Fargo & Company	2384562	2020-06-29	0.036699999999999997	31953130
8	Janus Henderson Group PLC	2313728	2020-06-29	0.0356	31003955
9	Hall Kathryn A.	2056600	2020-06-29	0.0316	27558440
