	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	15116836	2020-06-29	0.1245	2598281771
1	Vanguard Group, Inc. (The)	13283109	2020-06-29	0.1094	2283100774
2	Massachusetts Financial Services Co.	11090987	2020-06-29	0.0913	1906318845
3	Capital International Investors	8506874	2020-06-29	0.07	1462161503
4	Blackrock Inc.	7879534	2020-06-29	0.0649	1354334303
5	State Street Corporation	4781143	2020-06-29	0.0394	821782858
6	Wellington Management Company, LLP	4736672	2020-06-29	0.039	814139183
7	FMR, LLC	3158301	2020-06-29	0.026000000000000002	542848775
8	Invesco Ltd.	2907856	2020-06-29	0.0239	499802289
9	Cantillon Capital Management LLC	2313199	2020-06-29	0.019	397592644
