	0	1
Earnings Date	2020-10-30 00:00:00	2020-11-03 00:00:00
Earnings Average	-0.11	-0.11
Earnings Low	-0.83	-0.83
Earnings High	0.35	0.35
Revenue Average	25692200000	25692200000
Revenue Low	22271000000	22271000000
Revenue High	28893000000	28893000000
