	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	96918854	2020-06-29	0.08259999999999999	5098900908
1	Blackrock Inc.	81419412	2020-06-29	0.0693	4283475265
2	State Street Corporation	47456989	2020-06-29	0.0404	2496712191
3	Capital World Investors	46223845	2020-06-29	0.0394	2431836485
4	Price (T.Rowe) Associates Inc	45573978	2020-06-29	0.0388	2397646982
5	FMR, LLC	45199964	2020-06-29	0.0385	2377970106
6	JP Morgan Chase & Company	32885076	2020-06-29	0.027999999999999997	1730083848
7	Wellington Management Company, LLP	22172684	2020-06-29	0.0189	1166504905
8	Geode Capital Management, LLC	17357840	2020-06-29	0.0148	913195962
9	Bank Of New York Mellon Corporation	14629900	2020-06-29	0.0125	769679039
