	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	21878338	2020-06-29	0.0767	4352695345
1	Blackrock Inc.	19365917	2020-06-29	0.0679	3852849187
2	State Street Corporation	11304597	2020-06-29	0.039599999999999996	2249049573
3	Wellington Management Company, LLP	7671334	2020-06-29	0.0269	1526211899
4	Edgewood Management Company	6178961	2020-06-29	0.0217	1229304290
5	ClearBridge Investments, LLC	5847364	2020-06-29	0.020499999999999997	1163333067
6	Bill & Melinda Gates Foundation Trust	4366426	2020-06-29	0.015300000000000001	868700452
7	Bank of America Corporation	4284021	2020-06-29	0.015	852305977
8	Morgan Stanley	3903531	2020-06-29	0.0137	776607492
9	Franklin Resources, Inc.	3687911	2020-06-29	0.0129	733709893
