	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	27438019	2020-09-29	0.0902	2583015108
1	Vanguard Group, Inc. (The)	24008663	2020-09-29	0.079	2260175534
2	State Street Corporation	14985032	2020-09-29	0.0493	1410690912
3	Ameriprise Financial, Inc.	10177125	2020-09-29	0.0335	958074547
4	Macquarie Group Limited	7209934	2020-09-29	0.023700000000000002	678743186
5	Northern Trust Corporation	6059254	2020-09-29	0.0199	570418171
6	Geode Capital Management, LLC	5066137	2020-09-29	0.0167	476926137
7	Lsv Asset Management	5043251	2020-09-29	0.0166	474771649
8	Deutsche Bank Aktiengesellschaft	4813991	2020-09-29	0.0158	453189112
9	AQR Capital Management, LLC	4271913	2020-09-29	0.013999999999999999	402157889
