	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	90186020	2020-06-29	0.0812	4646383750
1	Blackrock Inc.	81921649	2020-06-29	0.0737	4220603356
2	Primecap Management Company	51464679	2020-06-29	0.0463	2651460262
3	State Street Corporation	48183329	2020-06-29	0.0434	2482405110
4	FMR, LLC	47888347	2020-06-29	0.0431	2467207637
5	Price (T.Rowe) Associates Inc	31597515	2020-06-29	0.028399999999999998	1627903972
6	Sanders Capital, Llc	26803557	2020-06-29	0.0241	1380919256
7	Wellington Management Company, LLP	18544571	2020-06-29	0.0167	955416297
8	Capital International Investors	17994036	2020-06-29	0.016200000000000003	927052734
9	Geode Capital Management, LLC	17380857	2020-06-29	0.015600000000000001	895461752
