	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	0.05	0.05
Earnings Low	0.01	0.01
Earnings High	0.14	0.14
Revenue Average	120240000	120240000
Revenue Low	114700000	114700000
Revenue High	124580000	124580000
