	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	29195131	2020-06-29	0.0779	5260670654
1	Vanguard Group, Inc. (The)	28869432	2020-06-29	0.077	5201982952
2	Blackrock Inc.	25984267	2020-06-29	0.0693	4682105070
3	Greenleaf Trust	20961519	2020-06-29	0.0559	3777056108
4	State Street Corporation	13912105	2020-06-29	0.0371	2506822199
5	Capital Research Global Investors	9006756	2020-06-29	0.024	1622927363
6	Bank Of New York Mellon Corporation	6991351	2020-06-29	0.0187	1259771536
7	Fundsmith LLP	6204547	2020-06-29	0.0166	1117997323
8	Franklin Resources, Inc.	5772627	2020-06-29	0.0154	1040169659
9	Massachusetts Financial Services Co.	5621919	2020-06-29	0.015	1013013584
