	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	64308507	2020-06-29	0.0851	8689365465
1	Blackrock Inc.	58599359	2020-06-29	0.0775	7917945388
2	State Street Corporation	34676390	2020-06-29	0.045899999999999996	4685473816
3	FMR, LLC	22847450	2020-06-29	0.0302	3087147444
4	Bank of America Corporation	13912037	2020-06-29	0.0184	1879794439
5	Pershing Square Capital Management, L.P.	12708853	2020-06-29	0.0168	1717220217
6	Wells Fargo & Company	11089110	2020-06-29	0.0147	1498360543
7	Geode Capital Management, LLC	10720863	2020-06-29	0.014199999999999999	1448603008
8	Northern Trust Corporation	9962581	2020-06-29	0.0132	1346143944
9	Nuveen Asset Management	8351287	2020-06-29	0.0111	1128425899
