	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	12922089	2020-06-29	0.0809	1801080764
1	Capital Research Global Investors	10674930	2020-06-29	0.0669	1487871743
2	Blackrock Inc.	10463193	2020-06-29	0.0655	1458359840
3	JP Morgan Chase & Company	10187065	2020-06-29	0.0638	1419873119
4	Massachusetts Financial Services Co.	7570027	2020-06-29	0.047400000000000005	1055110363
5	State Street Corporation	7472903	2020-06-29	0.046799999999999994	1041573220
6	Wells Fargo & Company	5932561	2020-06-29	0.037200000000000004	826880352
7	Barrow, Hanley Mewhinney & Strauss, LLC	4025252	2020-06-29	0.0252	561039623
8	Amundi Pioneer Asset Management	3525991	2020-06-29	0.022099999999999998	491452625
9	Ameriprise Financial, Inc.	3405337	2020-06-29	0.0213	474635871
