	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	18527930	2020-06-29	0.08449999999999999	2079574863
1	Vanguard Group, Inc. (The)	17012022	2020-06-29	0.0776	1909429349
2	FMR, LLC	13000451	2020-06-29	0.0593	1459170620
3	State Street Corporation	11072591	2020-06-29	0.050499999999999996	1242787613
4	Baker Brothers Advisors, LLC	8760794	2020-06-29	0.04	983311518
5	Price (T.Rowe) Associates Inc	7439840	2020-06-29	0.0339	835047641
6	ClearBridge Investments, LLC	6899607	2020-06-29	0.0315	774411889
7	Ameriprise Financial, Inc.	6036636	2020-06-29	0.0275	677552024
8	Renaissance Technologies, LLC	4479243	2020-06-29	0.0204	502750234
9	JP Morgan Chase & Company	3824816	2020-06-29	0.0175	429297347
