	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	37244891	2020-06-29	0.0943	2268213861
1	Vanguard Group, Inc. (The)	32809551	2020-06-29	0.08310000000000001	1998101655
2	State Street Corporation	18171818	2020-06-29	0.046	1106663716
3	Geode Capital Management, LLC	6800951	2020-06-29	0.0172	414177915
4	JP Morgan Chase & Company	5857682	2020-06-29	0.0148	356732833
5	Norges Bank Investment Management	5724374	2019-12-30	0.014499999999999999	536602818
6	Charles Schwab Investment Management, Inc.	4766003	2020-06-29	0.0121	290249582
7	Northern Trust Corporation	4761491	2020-06-29	0.0121	289974801
8	Morgan Stanley	4120702	2020-06-29	0.0104	250950751
9	Arrowstreet Capital, Limited Partnership	3988720	2020-06-29	0.0101	242913048
